0033c284 S _THR_COND_threads
0033c2a4 S _THR_KEY_mysys
0033bca8 S _THR_KEY_mysys_initialized
0033c2a8 S _THR_LOCK_charset
0033c2d8 S _THR_LOCK_heap
0033c308 S _THR_LOCK_lock
0033c338 S _THR_LOCK_malloc
0033c368 S _THR_LOCK_myisam
0033c398 S _THR_LOCK_myisam_mmap
0033c3c8 S _THR_LOCK_net
0033c3f8 S _THR_LOCK_open
0033c428 S _THR_LOCK_threads
0033bcac S _THR_thread_count
000160dc T _TIME_from_longlong_date_packed
0001601c T _TIME_from_longlong_datetime_packed
00015d58 T _TIME_from_longlong_time_packed
00015498 T _TIME_set_hhmmss
00015c40 T _TIME_set_yymmdd
00015ff4 T _TIME_to_longlong_date_packed
00015f98 T _TIME_to_longlong_datetime_packed
00016410 T _TIME_to_longlong_packed
00015cfc T _TIME_to_longlong_time_packed
00015c84 T _TIME_to_ulonglong
00015c08 T _TIME_to_ulonglong_date
00015bc8 T _TIME_to_ulonglong_datetime
00015c24 T _TIME_to_ulonglong_time
00036298 T __Z10DIGESTInitPN8TaoCrypt6SHA256E
000362a8 T __Z11DIGESTFinalPvPN8TaoCrypt6SHA256E
000362a0 T __Z12DIGESTUpdatePN8TaoCrypt6SHA256EPKvi
00038da8 T __Z16mysql_sha1_yasslPhPKci
00036314 T __Z17extract_user_saltPPcS0_
00036354 T __Z18sha256_find_digestPc
00038df8 T __Z22mysql_sha1_multi_yasslPhPKciS1_i
0004f694 T __ZN5yaSSL10Connection10TurnOffTLSEv
000510f4 T __ZN5yaSSL10Connection11CleanMasterEv
0004f6a0 T __ZN5yaSSL10Connection13TurnOffTLS1_1Ev
00051178 T __ZN5yaSSL10Connection14AllocPreSecretEj
0005112c T __ZN5yaSSL10Connection14CleanPreMasterEv
00050f60 T __ZN5yaSSL10ConnectionC1ENS_15ProtocolVersionERNS_10RandomPoolE
00050fe8 T __ZN5yaSSL10ConnectionC2ENS_15ProtocolVersionERNS_10RandomPoolE
00051070 T __ZN5yaSSL10ConnectionD1Ev
00051074 T __ZN5yaSSL10ConnectionD2Ev
000511e4 T __ZN5yaSSL10CreateDataEv
00057810 T __ZN5yaSSL10DeCompressERNS_12input_bufferEiS1_
0004dafc T __ZN5yaSSL10Parameters14SetCipherNamesEv
0004db78 T __ZN5yaSSL10Parameters9SetSuitesENS_15ProtocolVersionEbbb
0004da10 T __ZN5yaSSL10ParametersC1ENS_13ConnectionEndERKNS_7CiphersENS_15ProtocolVersionEb
