00000001000147c0 S _OBJC_CLASS_$_ZiYanBootRecoveryDaemon
0000000100014770 S _OBJC_CLASS_$_ZiYanIconShieldDaemon
0000000100014810 S _OBJC_CLASS_$_ZiYanSbRestartStatsDaemon
0000000100014860 S _OBJC_CLASS_$_ZiYanWatchdogDaemon
0000000100014798 S _OBJC_METACLASS_$_ZiYanBootRecoveryDaemon
0000000100014748 S _OBJC_METACLASS_$_ZiYanIconShieldDaemon
00000001000147e8 S _OBJC_METACLASS_$_ZiYanSbRestartStatsDaemon
0000000100014838 S _OBJC_METACLASS_$_ZiYanWatchdogDaemon
000000010000c14c T _ZiYanControlShmBridge_SetActive
000000010000c118 T _ZiYanControlShmBridge_SetPaused
000000010000c0c4 T _ZiYanControlShmBridge_SetStop
000000010000b868 T _ZiYanControlShmDisabled
000000010000b8cc T _ZiYanControlShmEnsure
000000010000b7d4 T _ZiYanControlShmPath
000000010000c750 T _ZiYanControlShmReadColorRep
000000010000d5c0 T _ZiYanControlShmReadControlFlags
000000010000cca0 T _ZiYanControlShmReadTouchRep
000000010000bcf8 T _ZiYanControlShmSetFlag
000000010000bea8 T _ZiYanControlShmSyncFromFiles
000000010000da48 T _ZiYanControlShmTakeAppCmd
000000010000c37c T _ZiYanControlShmTakeColorReq
000000010000d1f4 T _ZiYanControlShmTakeToast
000000010000cffc T _ZiYanControlShmTakeToastWithOrient
000000010000ca28 T _ZiYanControlShmTakeTouchReq
000000010000bdfc T _ZiYanControlShmTestFlag
000000010000d3ac T _ZiYanControlShmTestHeartbeatFresh
000000010000d8bc T _ZiYanControlShmWriteAppCmd
000000010000dba4 T _ZiYanControlShmWriteAppRep
000000010000c5a8 T _ZiYanControlShmWriteColorRep
000000010000c180 T _ZiYanControlShmWriteColorReq
000000010000d70c T _ZiYanControlShmWriteControlFlags
000000010000d228 T _ZiYanControlShmWriteHeartbeat
000000010000cf88 T _ZiYanControlShmWriteToast
000000010000cda4 T _ZiYanControlShmWriteToastWithOrient
000000010000cbb0 T _ZiYanControlShmWriteTouchRep
000000010000c908 T _ZiYanControlShmWriteTouchReq
0000000100000000 T __mh_execute_header
000000010000422c T _main
